rank,addr,count,pid,file_path,file_offset,symbol
1,0x0000558dfc69f1f0,55,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x11f0,bubble_sort+0x23
2,0x0000558dfc69f29b,55,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x129b,bubble_sort+0xce
3,0x0000558dfc69f0b0,12,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x10b0,sleep@plt
4,0x0000558dfc69f5e5,12,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x15e5,main+0x269
5,0x0000558dfc69f7ae,12,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x17ae,main+0x432
6,0x0000558dfc69f707,12,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x1707,main+0x38b
7,0x0000558dfc69f7a0,11,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x17a0,main+0x424
8,0x0000558dfc69f337,10,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x1337,fibonacci+0x3a
9,0x0000558dfc69f2fd,10,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x12fd,fibonacci
10,0x0000558dfc69f28b,9,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x128b,bubble_sort+0xbe
11,0x0000558dfc69f222,9,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x1222,bubble_sort+0x55
12,0x0000558dfc69f5ea,7,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x15ea,main+0x26e
13,0x0000558dfc69f332,7,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x1332,fibonacci+0x35
14,0x0000558dfc69f312,7,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x1312,fibonacci+0x15
15,0x00007f402f34f74e,7,183347,/usr/lib/libc.so.6,0x4374e,rand+0xe
16,0x00007f402f34f9cb,6,183347,/usr/lib/libc.so.6,0x439cb,random+0x7b
17,0x0000558dfc69f6d9,6,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x16d9,main+0x35d
18,0x00007f402f34fb6c,6,183347,/usr/lib/libc.so.6,0x43b6c,random_r+0x6c
19,0x0000558dfc69f763,6,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x1763,main+0x3e7
20,0x00007f402f34f9b6,6,183347,/usr/lib/libc.so.6,0x439b6,random+0x66
21,0x00007f402f34f748,6,183347,/usr/lib/libc.so.6,0x43748,rand+0x8
22,0x00007f402f34f9c0,6,183347,/usr/lib/libc.so.6,0x439c0,random+0x70
23,0x0000558dfc69f71a,6,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x171a,main+0x39e
24,0x0000558dfc69f6c8,6,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x16c8,main+0x34c
25,0x00007f402f34f74d,6,183347,/usr/lib/libc.so.6,0x4374d,rand+0xd
26,0x00007f402f34f9d4,6,183347,/usr/lib/libc.so.6,0x439d4,random+0x84
27,0x00007f402f34fb17,6,183347,/usr/lib/libc.so.6,0x43b17,random_r+0x17
28,0x00007f402f34f740,6,183347,/usr/lib/libc.so.6,0x43740,rand
29,0x00007f402f34f972,6,183347,/usr/lib/libc.so.6,0x43972,random+0x22
30,0x00007f402f34fb00,6,183347,/usr/lib/libc.so.6,0x43b00,random_r
31,0x00007f402f34f9a6,6,183347,/usr/lib/libc.so.6,0x439a6,random+0x56
32,0x00007f402f34fb38,6,183347,/usr/lib/libc.so.6,0x43b38,random_r+0x38
33,0x00007f402f34f9d0,6,183347,/usr/lib/libc.so.6,0x439d0,random+0x80
34,0x00007f402f34f950,6,183347,/usr/lib/libc.so.6,0x43950,random
35,0x0000558dfc69f65c,5,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x165c,main+0x2e0
36,0x0000558dfc69f797,5,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x1797,main+0x41b
37,0x0000558dfc69f31c,5,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x131c,fibonacci+0x1f
38,0x0000558dfc69f330,5,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x1330,fibonacci+0x33
39,0x0000558dfc69f667,5,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x1667,main+0x2eb
40,0x0000558dfc69f32b,5,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x132b,fibonacci+0x2e
41,0x0000558dfc69f30d,5,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x130d,fibonacci+0x10
42,0x0000558dfc69f321,5,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x1321,fibonacci+0x24
43,0x0000558dfc69f314,5,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x1314,fibonacci+0x17
44,0x0000558dfc69f643,4,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x1643,main+0x2c7
45,0x0000558dfc69f655,4,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x1655,main+0x2d9
46,0x0000558dfc69f64a,4,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x164a,main+0x2ce
47,0x0000558dfc69f635,4,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x1635,main+0x2b9
48,0x0000558dfc69f62e,4,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x162e,main+0x2b2
49,0x0000558dfc69f761,4,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x1761,main+0x3e5
50,0x0000558dfc69f620,4,183347,/home/ssy/lbr/test/test_lbr_sframe1,0x1620,main+0x2a4
