elapsed_ms,timestamp,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,l1d.replacement,l1d_pend_miss.fb_full,l1d_pend_miss.pending,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,cache-references,cache-misses,mem-loads,mem-stores,mem_inst_retired.all_loads,mem_inst_retired.all_stores,mem_inst_retired.any
500,2026-03-08 20:23:11.593,84232262,5281493,67853535,17327,,,,,,,,,,,,,,,,,,,,
1000,2026-03-08 20:23:12.093,48457466,2843013,35293148,16865,,,,,,,,,,,,,,,,,,,,
1500,2026-03-08 20:23:12.593,68049243,4419676,52149850,14414,,,,,,,,,,,,,,,,,,,,
2000,2026-03-08 20:23:13.093,63525418,3383068,51333768,12755,,,,,,,,,,,,,,,,,,,,
2500,2026-03-08 20:23:13.593,65240056,3961970,51032806,11996,,,,,,,,,,,,,,,,,,,,
3000,2026-03-08 20:23:14.093,84300144,5277700,67802309,16024,,,,,,,,,,,,,,,,,,,,
3500,2026-03-08 20:23:14.593,65693521,3956444,50982470,11815,,,,,,,,,,,,,,,,,,,,
4000,2026-03-08 20:23:15.093,65546374,3956285,51007671,12033,,,,,,,,,,,,,,,,,,,,
4500,2026-03-08 20:23:15.593,84359642,5273735,67778090,15509,,,,,,,,,,,,,,,,,,,,
5000,2026-03-08 20:23:16.093,66176706,3968238,51189159,12686,,,,,,,,,,,,,,,,,,,,
5500,2026-03-08 20:23:16.593,68653345,3980394,52404307,19886,,,,,,,,,,,,,,,,,,,,
6000,2026-03-08 20:23:17.093,84968782,5290216,68052720,18196,,,,,,,,,,,,,,,,,,,,
6500,2026-03-08 20:23:17.593,67591719,3971211,51859636,13683,,,,,,,,,,,,,,,,,,,,
7000,2026-03-08 20:23:18.093,68285225,4098341,51835525,13774,,,,,,,,,,,,,,,,,,,,
7500,2026-03-08 20:23:18.593,83817907,5145017,67785223,15417,,,,,,,,,,,,,,,,,,,,
8000,2026-03-08 20:23:19.093,64691220,3981500,51122116,14148,,,,,,,,,,,,,,,,,,,,
