elapsed_ms,timestamp,dTLB-loads,dTLB-loads_time_enabled,dTLB-loads_time_running,dTLB-load-misses,dTLB-load-misses_time_enabled,dTLB-load-misses_time_running,dTLB-stores,dTLB-stores_time_enabled,dTLB-stores_time_running,dTLB-store-misses,dTLB-store-misses_time_enabled,dTLB-store-misses_time_running,iTLB-loads,iTLB-loads_time_enabled,iTLB-loads_time_running,iTLB-load-misses,iTLB-load-misses_time_enabled,iTLB-load-misses_time_running,L1-dcache-loads,L1-dcache-loads_time_enabled,L1-dcache-loads_time_running,L1-dcache-load-misses,L1-dcache-load-misses_time_enabled,L1-dcache-load-misses_time_running,L1-dcache-stores,L1-dcache-stores_time_enabled,L1-dcache-stores_time_running,L1-icache-load-misses,L1-icache-load-misses_time_enabled,L1-icache-load-misses_time_running,l1d.replacement,l1d.replacement_time_enabled,l1d.replacement_time_running,l1d_pend_miss.fb_full,l1d_pend_miss.fb_full_time_enabled,l1d_pend_miss.fb_full_time_running,l1d_pend_miss.pending,l1d_pend_miss.pending_time_enabled,l1d_pend_miss.pending_time_running,LLC-loads,LLC-loads_time_enabled,LLC-loads_time_running,LLC-load-misses,LLC-load-misses_time_enabled,LLC-load-misses_time_running,LLC-stores,LLC-stores_time_enabled,LLC-stores_time_running,LLC-store-misses,LLC-store-misses_time_enabled,LLC-store-misses_time_running,cache-references,cache-references_time_enabled,cache-references_time_running,cache-misses,cache-misses_time_enabled,cache-misses_time_running,mem-loads,mem-loads_time_enabled,mem-loads_time_running,mem-stores,mem-stores_time_enabled,mem-stores_time_running,mem_inst_retired.all_loads,mem_inst_retired.all_loads_time_enabled,mem_inst_retired.all_loads_time_running,mem_inst_retired.all_stores,mem_inst_retired.all_stores_time_enabled,mem_inst_retired.all_stores_time_running,mem_inst_retired.any,mem_inst_retired.any_time_enabled,mem_inst_retired.any_time_running
500,2026-03-09 14:39:33.595,68331569,497673434,80363827,4378142,497661789,81581369,76248779,497655142,82827615,3901,497649142,83812148,6877,497642735,83862518,4393,497635523,83815098,72299549,497629033,83518069,15620525,497622590,83522696,49101978,497616436,83553263,371967,497610101,83585666,17278055,497603723,83675897,17462217,497597396,83652029,3313395494,497590674,83645111,13398774,497584204,83304478,9944653,497577502,83532292,178293,497571082,41975476,109677,497597189,41961948,30338006,497594250,62684035,24015911,497587485,83401757,12007995,497580996,83195464,41175,497576208,82693077,37662840,497585269,81792331,29148071,497579320,80776532,100355843,497573801,79952682
1000,2026-03-09 14:39:34.095,46914836,997095240,164373621,4115023,997083600,165519034,47400756,997076990,167636658,4180,997070979,168613970,7158,997064723,168681216,4398,997057493,168668165,73357614,997051034,167420303,13952232,997044254,167330850,83747388,997037869,167359245,356209,997031517,167397056,13320217,997025080,167409975,4851616,997018710,167485885,2629966628,997011904,167464580,10642580,997005415,167095446,9144092,996998669,167495068,220346,996994105,83502720,65366,996988621,82499820,25254293,996982607,123232512,20317285,996976866,163908508,8412571,996970601,163157170,60011,996963442,163103872,46238311,996956716,163214435,36350732,996949632,163227727,83449095,996942941,163411185
1500,2026-03-09 14:39:34.595,109250666,1494867416,251858748,4089362,1494855820,249273355,73275918,1494849232,251582267,3003,1494843447,252308966,8583,1494837016,252361338,5357,1494829764,251965696,24814178,1494823268,250643449,17094116,1494834161,250318306,728060,1494829071,249433119,342050,1494823807,248838577,16269325,1494818436,247895372,13890414,1494812313,247421509,2952983856,1494805814,247331548,11646175,1494799318,246479923,9529565,1494792582,246847935,158753,1494786142,123770208,93842,1494779366,123765652,30341793,1494772302,185534618,23152166,1494765543,247166016,10503673,1494759040,247119082,103755,1494751878,247085485,86741503,1494745190,250853099,87855187,1494738122,250743533,212018379,1494731456,250893008
2000,2026-03-09 14:39:35.095,69548586,1991107244,334538955,3359983,1991096575,331035040,82830477,1991090929,332217726,4140,1991086134,332328411,9808,1991079930,331909684,5106,1991072709,331437644,104368887,1991066255,330244208,13912048,1991059488,330214895,44572453,1991053127,330174239,435082,1991046795,330538378,12859047,1991040373,330885718,10018948,1991034011,330744859,2815063880,1991027220,331015754,11225371,1991020734,329882857,9750234,1991014010,330150375,24246,1991007596,166612250,1926,1991000823,168471349,25922653,1990993823,250964736,20722643,1990987058,333589022,8931463,1990980527,332154138,2573,1990973390,330291043,17379561,1990966715,334322338,21108665,1990959585,334003880,79119213,1990952922,334355104
2500,2026-03-09 14:39:35.595,157849440,2489294473,414837402,4060127,2489283364,412304927,166694605,2489276851,414673559,2753,2489270978,415807406,11463,2489264906,415630844,4287,2489257813,415135952,78997495,2489251467,413978071,20502554,2489244845,413958398,659525,2489239052,414156312,287128,2489232797,414553762,21110290,2489227272,414850968,23598837,2489221239,414432092,4347327196,2489214602,414397658,17422032,2489208535,413311138,13592870,2489201889,413614325,39918,2489195853,208585253,44269,2489189101,210236285,34845154,2489199882,313722158,25602787,2489193225,417343444,12437125,2489189560,415930023,69516,2489184064,413358930,85811417,2489179138,416402451,91729552,2489173204,414865679,252912346,2489167574,414195994
3000,2026-03-09 14:39:36.095,142931437,2988886078,498819221,4353666,2988874365,496314005,116088380,2988867703,498543419,2853,2988861694,499708707,10315,2988855240,499509046,4701,2988847963,499016089,56067093,2988841447,497991376,17684022,2988834714,497916008,31861033,2988828344,498152394,241317,2988822040,498549974,16574184,2988815584,498820809,12864991,2988809230,498500248,3052874656,2988802424,498421209,13827499,2988795966,497340858,11722446,2988789228,497612658,48526,2988782846,250307125,1010,2988778017,251462488,32719103,2988772332,374971222,24710964,2988766655,498571052,11906718,2988761149,496402367,47341,2988754649,493818705,76804450,2988747962,497826788,90065942,2988740843,497348714,248954070,2988747057,497661744
3500,2026-03-09 14:39:36.595,14674315,3488738053,582788121,5098339,3488726443,580319054,686380,3488719921,582532109,3012,3488713936,583717086,8741,3488707515,583472047,4811,3488700274,582956726,49041363,3488693843,581924770,15698756,3488687082,581885532,92617363,3488680728,582135571,293465,3488687576,582531111,14429670,3488681123,582760138,8685352,3488674777,582386200,2501217710,3488669591,581853183,11945642,3488664627,579765896,10143986,3488658847,579155276,177521,3488652709,290319300,97231,3488645927,291952579,31134018,3488638913,436450945,24487993,3488632556,581038973,12007101,3488626052,579910964,1153,3488618910,577821626,15037505,3488612208,581804009,688493,3488605213,581337989,15491000,3488598522,581646269
4000,2026-03-09 14:39:37.095,65233483,3988381809,666789426,4908088,3988370126,664053336,58180167,3988363477,666227332,3017,3988357470,667461350,7716,3988350999,667229673,4712,3988343736,666930503,49256624,3988337240,665919186,17894172,3988330458,665866462,34278897,3988325787,665617373,264073,3988320967,665047969,16722132,3988315551,664288262,13146378,3988310137,662893201,2927216871,3988303583,662346698,13900465,3988297092,661222861,10678588,3988290349,661602884,162483,3988283928,332299844,87422,3988277164,333942291,31564686,3988270165,499437091,22818479,3988263398,664960175,10918323,3988256867,663882262,100677,3988249726,661751265,65830370,3988243011,665750518,49783172,3988235890,665377848,116485662,3988229222,665637031
4500,2026-03-09 14:39:37.595,81812946,4487885396,750782030,4833877,4487873704,748053997,61433328,4487867052,750180815,2848,4487861152,751441525,8225,4487856326,750711312,4437,4487850266,749378882,49405376,4487844795,747415713,17432031,4487839125,746357536,47627380,4487833013,746095080,269661,4487826661,746312855,17305394,4487820239,746561511,12904809,4487813892,746139209,3331621117,4487807097,746130391,15493639,4487800615,745228598,12253763,4487793880,745636032,76336,4487787456,374311178,69552,4487780700,375721308,32214547,4487773652,562187956,22739231,4487767154,748701689,9938126,4487760609,747622110,80624,4487753470,745708899,84145678,4487746764,749754548,68892151,4487739725,749379297,150183242,4487733059,749658545
5000,2026-03-09 14:39:38.095,130741734,4986974443,834232857,4523217,4986964366,830495353,80100004,4986959473,831612615,2859,4986954711,831891383,8183,4986948659,831191685,4591,4986941613,830872240,15517241,4986935316,829906040,18480331,4986928702,829845379,685542,4986922863,830119750,291891,4986916642,830305591,17843114,4986910447,830304225,16331554,4986904230,829890890,3328838279,4986897730,829871666,14755789,4986891405,828709409,11698846,4986884831,829115995,164132,4986878584,416068374,93472,4986872018,417740428,36673862,4986865124,625198776,26812500,4986858789,832602957,12669285,4986852497,831570531,136682,4986845663,829592978,114791782,4986839148,833668093,109270756,4986832380,833417641,239949171,4986825867,833613078
